Año (x),CCAA,CCAA(y),Veces
1979.0,Andalucia,1.0,2.0
1981.0,Andalucia,1.0,8.0
1982.0,Andalucia,1.0,10.0
1983.0,Andalucia,1.0,28.0
1984.0,Andalucia,1.0,22.0
1985.0,Andalucia,1.0,10.0
1986.0,Andalucia,1.0,5.0
1987.0,Andalucia,1.0,2.0
1990.0,Andalucia,1.0,7.0
1992.0,Andalucia,1.0,4.0
1995.0,Andalucia,1.0,10.0
1996.0,Andalucia,1.0,1.0
1997.0,Andalucia,1.0,3.0
1999.0,Andalucia,1.0,3.0
2003.0,Andalucia,1.0,1.0
2004.0,Andalucia,1.0,11.0
2005.0,Andalucia,1.0,8.0
2006.0,Andalucia,1.0,3.0
2007.0,Andalucia,1.0,5.0
2008.0,Andalucia,1.0,8.0
2010.0,Andalucia,1.0,3.0
2011.0,Andalucia,1.0,-2.0
2014.0,Andalucia,1.0,3.0
1979.0,Aragón,2.0,3.0
1981.0,Aragón,2.0,4.0
1982.0,Aragón,2.0,9.0
1983.0,Aragón,2.0,14.0
1984.0,Aragón,2.0,17.0
1985.0,Aragón,2.0,5.0
1986.0,Aragón,2.0,3.0
1987.0,Aragón,2.0,1.0
1992.0,Aragón,2.0,3.0
1993.0,Aragón,2.0,4.0
1994.0,Aragón,2.0,7.0
1995.0,Aragón,2.0,14.0
1996.0,Aragón,2.0,1.0
1997.0,Aragón,2.0,2.0
1998.0,Aragón,2.0,6.0
1999.0,Aragón,2.0,3.0
2001.0,Aragón,2.0,1.0
2002.0,Aragón,2.0,1.0
2005.0,Aragón,2.0,1.0
2006.0,Aragón,2.0,3.0
2007.0,Aragón,2.0,2.0
2009.0,Aragón,2.0,1.0
2010.0,Aragón,2.0,5.0
2011.0,Aragón,2.0,2.0
1979.0,Asturias,3.0,1.0
1981.0,Asturias,3.0,3.0
1982.0,Asturias,3.0,12.0
1983.0,Asturias,3.0,17.0
1984.0,Asturias,3.0,12.0
1985.0,Asturias,3.0,8.0
1986.0,Asturias,3.0,2.0
1987.0,Asturias,3.0,1.0
1989.0,Asturias,3.0,3.0
1994.0,Asturias,3.0,5.0
1995.0,Asturias,3.0,15.0
1999.0,Asturias,3.0,11.0
2000.0,Asturias,3.0,4.0
2001.0,Asturias,3.0,1.0
2005.0,Asturias,3.0,6.0
2006.0,Asturias,3.0,1.0
2008.0,Asturias,3.0,2.0
2010.0,Asturias,3.0,1.0
1979.0,Baleares,4.0,2.0
1980.0,Baleares,4.0,1.0
1981.0,Baleares,4.0,3.0
1982.0,Baleares,4.0,9.0
1983.0,Baleares,4.0,14.0
1984.0,Baleares,4.0,13.0
1985.0,Baleares,4.0,6.0
1986.0,Baleares,4.0,3.0
1987.0,Baleares,4.0,1.0
1992.0,Baleares,4.0,1.0
1993.0,Baleares,4.0,7.0
1995.0,Baleares,4.0,19.0
1996.0,Baleares,4.0,5.0
1997.0,Baleares,4.0,3.0
1998.0,Baleares,4.0,2.0
1999.0,Baleares,4.0,7.0
2001.0,Baleares,4.0,5.0
2005.0,Baleares,4.0,3.0
2006.0,Baleares,4.0,2.0
2007.0,Baleares,4.0,3.0
2009.0,Baleares,4.0,1.0
2014.0,Baleares,4.0,2.0
1979.0,C. Valenciana,5.0,3.0
1980.0,C. Valenciana,5.0,1.0
1981.0,C. Valenciana,5.0,3.0
1982.0,C. Valenciana,5.0,14.0
1983.0,C. Valenciana,5.0,21.0
1984.0,C. Valenciana,5.0,15.0
1985.0,C. Valenciana,5.0,19.0
1986.0,C. Valenciana,5.0,4.0
1987.0,C. Valenciana,5.0,5.0
1989.0,C. Valenciana,5.0,6.0
1992.0,C. Valenciana,5.0,2.0
1995.0,C. Valenciana,5.0,7.0
1996.0,C. Valenciana,5.0,7.0
1997.0,C. Valenciana,5.0,3.0
1998.0,C. Valenciana,5.0,4.0
1999.0,C. Valenciana,5.0,6.0
2000.0,C. Valenciana,5.0,5.0
2002.0,C. Valenciana,5.0,1.0
2004.0,C. Valenciana,5.0,1.0
2005.0,C. Valenciana,5.0,2.0
2006.0,C. Valenciana,5.0,1.0
2009.0,C. Valenciana,5.0,1.0
2013.0,C. Valenciana,5.0,1.0
2020.0,C. Valenciana,5.0,2.0
1979.0,Canarias,6.0,1.0
1981.0,Canarias,6.0,3.0
1982.0,Canarias,6.0,4.0
1983.0,Canarias,6.0,21.0
1984.0,Canarias,6.0,16.0
1985.0,Canarias,6.0,17.0
1986.0,Canarias,6.0,5.0
1987.0,Canarias,6.0,1.0
1988.0,Canarias,6.0,1.0
1990.0,Canarias,6.0,7.0
1993.0,Canarias,6.0,2.0
1994.0,Canarias,6.0,5.0
1995.0,Canarias,6.0,12.0
1996.0,Canarias,6.0,8.0
1998.0,Canarias,6.0,7.0
1999.0,Canarias,6.0,2.0
2001.0,Canarias,6.0,2.0
2004.0,Canarias,6.0,2.0
2006.0,Canarias,6.0,3.0
2009.0,Canarias,6.0,1.0
2010.0,Canarias,6.0,4.0
2013.0,Canarias,6.0,2.0
2014.0,Canarias,6.0,1.0
1982.0,Cantabria,7.0,16.0
1983.0,Cantabria,7.0,19.0
1984.0,Cantabria,7.0,9.0
1985.0,Cantabria,7.0,6.0
1986.0,Cantabria,7.0,3.0
1996.0,Cantabria,7.0,25.0
1998.0,Cantabria,7.0,6.0
1999.0,Cantabria,7.0,3.0
2001.0,Cantabria,7.0,2.0
2006.0,Cantabria,7.0,9.0
2007.0,Cantabria,7.0,2.0
2008.0,Cantabria,7.0,3.0
2010.0,Cantabria,7.0,3.0
1981.0,Castilla Y Leon,8.0,6.0
1982.0,Castilla Y Leon,8.0,10.0
1983.0,Castilla Y Leon,8.0,14.0
1984.0,Castilla Y Leon,8.0,14.0
1985.0,Castilla Y Leon,8.0,10.0
1986.0,Castilla Y Leon,8.0,1.0
1987.0,Castilla Y Leon,8.0,4.0
1989.0,Castilla Y Leon,8.0,3.0
1993.0,Castilla Y Leon,8.0,3.0
1994.0,Castilla Y Leon,8.0,7.0
1995.0,Castilla Y Leon,8.0,9.0
1996.0,Castilla Y Leon,8.0,7.0
1998.0,Castilla Y Leon,8.0,4.0
1999.0,Castilla Y Leon,8.0,5.0
2000.0,Castilla Y Leon,8.0,3.0
2001.0,Castilla Y Leon,8.0,2.0
2002.0,Castilla Y Leon,8.0,2.0
2003.0,Castilla Y Leon,8.0,3.0
2006.0,Castilla Y Leon,8.0,1.0
2010.0,Castilla Y Leon,8.0,4.0
2014.0,Castilla Y Leon,8.0,4.0
